query, wos_id, wos_title, PMID, search_result_rank, solr_score,Select
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 1.28A. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf on October 25 2017.,WOS:000262810600836,"Gfroerer, J. 2008 CURRENT PATTERNS OF SUBSTANCE ABUSE AMONG OLDER ADULTS: RESULTS FROM THE NATIONAL SURVEY ON DRUG USE AND HEALTH GERONTOLOGIST",NA,2,16.140287,
Cicero TJ Ellis MS Kasper ZA. Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers. Addict Behav. 2017 Feb;65:242-244.,WOS:000390074000038,"Cicero, Theodore J. Kasper, Zachary A. Ellis, Matthew S. 2017 Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers ADDICTIVE BEHAVIORS",27544696,1,29.375069,X
Cicero TJ Ellis MS Kasper ZA. Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers. Addict Behav. 2017 Feb;65:242-244.,WOS:000396403600008,"Kasper, Zachary A. Cicero, Theodore J. Ellis, Matthew S. 2017 Relative preferences in the abuse of immediate-release versus extended-release opioids in a sample of treatment-seeking opioid abusers PHARMACOEPIDEMIOLOGY AND DRUG SAFETY",27594167,2,15.735979,
Jarlenski M Barry CL Gollust S Graves AJ Kennedy-Hendricks A Kozhimannil K. Polysubstance Use Among US Women of Reproductive Age Who Use Opioids for Nonmedical Reasons. Am J Public Health. 2017 Aug;107(8):1308-1310.,WOS:000410935700053,"Kozhimannil, Katy Barry, Colleen L. Gollust, Sarah Kennedy-Hendricks, Alene Graves, Amy J. Jarlenski, Marian 2017 Polysubstance Use Among US Women of Reproductive Age Who Use Opioids for Nonmedical Reasons AMERICAN JOURNAL OF PUBLIC HEALTH",NA,1,34.61618,X
Jarlenski M Barry CL Gollust S Graves AJ Kennedy-Hendricks A Kozhimannil K. Polysubstance Use Among US Women of Reproductive Age Who Use Opioids for Nonmedical Reasons. Am J Public Health. 2017 Aug;107(8):1308-1310.,WOS:000401209900025,"Graves, Amy J. Jarlenski, Marian Kennedy-Hendricks, Alene Barry, Colleen L. Gollust, Sarah Kozhimannil, Katy B. 2017 Non-medical opioid use and sources of opioids among pregnant and non-pregnant reproductive-aged women DRUG AND ALCOHOL DEPENDENCE",28285727,2,21.25364,
McCabe SE West BT Jutkiewicz EM Boyd CJ. Multiple DSM-5 substance use disorders: A national study of US adults. Hum Psychopharmacol. 2017 Sep;32(5).,WOS:000410082300009,"West, Brady T. McCabe, Sean Esteban 2017 The 3-Year Course of Multiple Substance Use Disorders in the United States: A National Longitudinal Study JOURNAL OF CLINICAL PSYCHIATRY",28406266,1,11.64338,
McCabe SE West BT Jutkiewicz EM Boyd CJ. Multiple DSM-5 substance use disorders: A national study of US adults. Hum Psychopharmacol. 2017 Sep;32(5).,WOS:000407055700003,"Hayley, Amie C. Stough, Con Downey, Luke A. Downey, Luke A. 2017 DSM-5 cannabis use disorder, substance use and DSM-5 specific substance-use disorders: Evaluating comorbidity in a population based sample EUROPEAN NEUROPSYCHOPHARMACOLOGY",28663122,2,11.150842,
Han B Compton WM Jones CM Cai R. 2015. Nonmedical prescription opioid use and use disorders among adults aged 18 through 64 years in the United States 2003-2013. JAMA 314(14):1468-78.,WOS:000362647800014,"Cai, Rong Compton, Wilson M. Jones, Christopher M. Han, Beth 2015 Nonmedical Prescription Opioid Use and Use Disorders Among Adults Aged 18 Through 64 Years in the United States, 2003-2013 JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",26461997,1,27.906048,X
Han B Compton WM Jones CM Cai R. 2015. Nonmedical prescription opioid use and use disorders among adults aged 18 through 64 years in the United States 2003-2013. JAMA 314(14):1468-78.,WOS:000324281400013,"Jones, Christopher M. 2013 Heroin use and heroin use risk behaviors among nonmedical users of prescription opioid pain relievers - United States, 2002-2004 and 2008-2010 DRUG AND ALCOHOL DEPENDENCE",23410617,2,14.170087,
Carlson RG Nahhas RW Martins SS Daniulaityte R. 2016. Predictors of transition to heroin use a mong initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study. Drug Alcohol Depend 160:12734.,WOS:000371837200016,"Daniulaityte, Raminta Martins, Silvia S. Carlson, Robert G. Nahhas, Ramzi W. 2016 Predictors of transition to heroin use among initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study DRUG AND ALCOHOL DEPENDENCE",26785634,1,32.16985,X
Carlson RG Nahhas RW Martins SS Daniulaityte R. 2016. Predictors of transition to heroin use a mong initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study. Drug Alcohol Depend 160:12734.,WOS:000332425500034,"Carlson, Robert G. Li, Linna Falck, Russel Nahhas, Ramzi W. Daniulaityte, Raminta Martins, Silvia S. 2014 Latent class analysis of non-opioid dependent illegal pharmaceutical opioid users in Ohio DRUG AND ALCOHOL DEPENDENCE",24210772,2,19.354603,
Comer SD Sullivan MA Whittington RA Vosburg SK Kowalczyk WJ. 2008. Abuse liability of prescription opioids compared to heroin in morphine-maintained heroin abusers. Neuropsychopharmacology 33(5):1179-91.,WOS:000253957600021,"Comer, Sandra D. Sullivan, Maria A. Kowalczyk, William J. Whittington, Robert A. Vosburg, Suzanne K. 2008 Abuse liability of prescription opioids compared to heroin in morphine-maintained heroin abusers NEUROPSYCHOPHARMACOLOGY",17581533,1,32.267532,X
Comer SD Sullivan MA Whittington RA Vosburg SK Kowalczyk WJ. 2008. Abuse liability of prescription opioids compared to heroin in morphine-maintained heroin abusers. Neuropsychopharmacology 33(5):1179-91.,WOS:000224663001578,"Sullivan, M Comer, S 2004 Effects of intranasal heroin in non-opioid-dependent heroin abusers maintained on memantine INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY",NA,2,17.239866,
Shah A Hayes CJ Martin BC. 2017. Factors influencing long-term opioid use among opioid naive patients: An examination of initial prescription characteristics and pain etiologies. J Pain .,WOS:000397075200001,"Hayes, Corey J. Shah, Anuj Martin, Bradley C. Hayes, Corey J. 2017 Characteristics of Initial Pres Long-Term Opioid Use MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT",28301454,1,16.805403,
Shah A Hayes CJ Martin BC. 2017. Factors influencing long-term opioid use among opioid naive patients: An examination of initial prescription characteristics and pain etiologies. J Pain .,WOS:000405448003017,"Hayes, C. J. Shah, A. B. Martin, B. C. 2017 WHICH PAIN ETIOLOGIES ARE MOST LIKELY TO RESULT IN LONG TERM OPIOID USE? RESULTS FROM A LARGE NATIONALLY REPRESENTATIVE INCEPTION COHORT STUDY VALUE IN HEALTH",NA,2,15.654433,
Stumbo SP Yarborough BJ McCarty D Weisner C Green CA. 2017. Patient-reported pathways to opioid use disorders and pain-related barriers to treatment engagement. J Subst Abuse Treat 73:47-54.,WOS:000393267300007,"Weisner, Constance Green, Carla A. Stumbo, Scott P. McCarty, Dennis Weisner, Constance Yarborough, Bobbi Jo H. 2017 Patient-repoited pathways to opioid use disorders and pain-related barriers to treatment engagement JOURNAL OF SUBSTANCE ABUSE TREATMENT",28017184,1,25.981064,X
Stumbo SP Yarborough BJ McCarty D Weisner C Green CA. 2017. Patient-reported pathways to opioid use disorders and pain-related barriers to treatment engagement. J Subst Abuse Treat 73:47-54.,WOS:000371837200014,"Yarborough, Bobbi Jo H. Stumbo, Scott P. Green, Carla A. Weisner, Constance Weisner, Constance Mertens, Jennifer McCarty, Dennis 2016 Methadone, buprenorphine and preferences for opioid agonist treatment: A qualitative analysis DRUG AND ALCOHOL DEPENDENCE",26796596,2,13.120918,
Manchikanti L Helm S II Fellows B et al. 2012. Opioid epidemic in the United States. Pain Physician 15:Suppl:ES9-38.,WOS:000314461300002,"Janata, Jeffrey W. Grider, Jay S. Fellows, Bert Helm, Standiford, II Manchikanti, Laxmaiah Manchikanti, Laxmaiah Boswell, Mark V. Boswell, Mark V. Fellows, Bert Pampati, Vidyasagar 2012 Opioid Epidemic in the United States PAIN PHYSICIAN",22786464,1,17.995653,X
Manchikanti L Helm S II Fellows B et al. 2012. Opioid epidemic in the United States. Pain Physician 15:Suppl:ES9-38.,WOS:000261053200001,"Manchikanti, Laxmaiah Smith, Howard Fellows, Bert 2008 Pain Physician: An Emerging Journal of Interventional Pain Management in the New Millennium PAIN PHYSICIAN",NA,2,10.780392,
Arria AM Compton WM. 2017. Complexities in understanding and addressing the serious public health issues related to the nonmedical use of prescription drugs. Addict Behav 65:215-217.,WOS:000390074000033,"Compton, Wilson M. Arria, Amelia M. 2017 Complexities in understanding and addressing the serious public health issues related to the nonmedical use of prescription drugs ADDICTIVE BEHAVIORS",27639956,1,26.221695,X
Arria AM Compton WM. 2017. Complexities in understanding and addressing the serious public health issues related to the nonmedical use of prescription drugs. Addict Behav 65:215-217.,WOS:000227854200011,"Arria, AM Wish, ED 2005 Nonmedical use of prescription stimulants among students PSYCHIATRIC ANNALS",NA,2,12.83547,
Carlson RG Nahhas RW Martins SS Daniulaityte R. 2016. Predictors of transition to heroin use among initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study. Drug Alcohol Depend 160:12734.,WOS:000371837200016,"Daniulaityte, Raminta Martins, Silvia S. Carlson, Robert G. Nahhas, Ramzi W. 2016 Predictors of transition to heroin use among initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study DRUG AND ALCOHOL DEPENDENCE",26785634,1,32.83258,X
Carlson RG Nahhas RW Martins SS Daniulaityte R. 2016. Predictors of transition to heroin use among initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study. Drug Alcohol Depend 160:12734.,WOS:000332425500034,"Carlson, Robert G. Li, Linna Falck, Russel Nahhas, Ramzi W. Daniulaityte, Raminta Martins, Silvia S. 2014 Latent class analysis of non-opioid dependent illegal pharmaceutical opioid users in Ohio DRUG AND ALCOHOL DEPENDENCE",24210772,2,19.354603,
Compton WM Jones CM Baldwin GT. 2016. Relationship between nonmedical prescription -opioid use and heroin use. N Engl J Med 374(2):154-63.,WOS:000367996700010,"Baldwin, Grant T. Jones, Christopher M. Compton, Wilson M. 2016 Relationship between Nonmedical Prescription-Opioid Use and Heroin Use NEW ENGLAND JOURNAL OF MEDICINE",26760086,1,19.937641,X
Compton WM Jones CM Baldwin GT. 2016. Relationship between nonmedical prescription -opioid use and heroin use. N Engl J Med 374(2):154-63.,WOS:000373085500026,"Jones, Christopher M. Baldwin, Grant T. Compton, Wilson M. 2016 Nonmedical Prescription-Opioid Use and Heroin Use REPLY NEW ENGLAND JOURNAL OF MEDICINE",27028930,2,17.952003,
Compton WM Jones CM Baldwin GT. 2016. Nonmedical prescription-opioid use and heroin use. N Engl J Med 374(13):1296.,WOS:000373085500026,"Jones, Christopher M. Baldwin, Grant T. Compton, Wilson M. 2016 Nonmedical Prescription-Opioid Use and Heroin Use REPLY NEW ENGLAND JOURNAL OF MEDICINE",27028930,1,17.952003,X
Compton WM Jones CM Baldwin GT. 2016. Nonmedical prescription-opioid use and heroin use. N Engl J Med 374(13):1296.,WOS:000367996700010,"Baldwin, Grant T. Jones, Christopher M. Compton, Wilson M. 2016 Relationship between Nonmedical Prescription-Opioid Use and Heroin Use NEW ENGLAND JOURNAL OF MEDICINE",26760086,2,17.574026,
Muhuri PK Gfroerer JC Davies C. 2013 August. Associations of nonmedical pain reliever use and initiation of heroin use in the United States. CBHSQ Data Review. Available at http://archive.samhsa.gov/data/2k13/DataReview/DR006/nonmedical -pain-reliever-use-2013.pdf.,WOS:000308616800020,"Jones, Christopher M. 2012 Frequency of Prescription Pain Reliever Nonmedical Use: 2002-2003 and 2009-2010 ARCHIVES OF INTERNAL MEDICINE",22733257,1,19.60605,
Muhuri PK Gfroerer JC Davies C. 2013 August. Associations of nonmedical pain reliever use and initiation of heroin use in the United States. CBHSQ Data Review. Available at http://archive.samhsa.gov/data/2k13/DataReview/DR006/nonmedical -pain-reliever-use-2013.pdf.,WOS:000256742600002,"Colliver, James D. Gfroerer, Joseph C. 2008 Motive for nonmedical use of prescription pain relievers in the National Survey on Drug Use and Health JOURNAL OF PAIN",18403270,2,18.112473,
Al-Tayyib AA Koester S Riggs P. 2017. Prescription opioids prior to injection drug use : Comparisons and public health implications. Addict Behav 65:224-228.,WOS:000390074000035,"Riggs, Paula Al-Tayyib, Alia A. Al-Tayyib, Alia A. Koester, Stephen 2017 Prescription opioids prior to injection drug use: Comparisons and public health implications ADDICTIVE BEHAVIORS",27569698,1,25.477354,X
Al-Tayyib AA Koester S Riggs P. 2017. Prescription opioids prior to injection drug use : Comparisons and public health implications. Addict Behav 65:224-228.,WOS:000400384700010,"Koester, Stephen Langegger, Sig Raville, Lisa Al-Tayyib, Alia 2017 Heroin and Methamphetamine Injection: An Emerging Drug Use Pattern SUBSTANCE USE & MISUSE",28323507,2,12.47084,
Compton WM Jones CM Baldwin GT. 2016. Relationship between nonmedical prescription -opioid use and heroin use. N Engl J Med 374(2):154-63.,WOS:000367996700010,"Baldwin, Grant T. Jones, Christopher M. Compton, Wilson M. 2016 Relationship between Nonmedical Prescription-Opioid Use and Heroin Use NEW ENGLAND JOURNAL OF MEDICINE",26760086,1,19.937641,X
Compton WM Jones CM Baldwin GT. 2016. Relationship between nonmedical prescription -opioid use and heroin use. N Engl J Med 374(2):154-63.,WOS:000373085500026,"Jones, Christopher M. Baldwin, Grant T. Compton, Wilson M. 2016 Nonmedical Prescription-Opioid Use and Heroin Use REPLY NEW ENGLAND JOURNAL OF MEDICINE",27028930,2,17.952003,
Muhuri PK Gfroerer JC Davies C. 2013 August. Associations of nonmedical pain reliever use and initiation of heroin use in the United States. CBHSQ Data Review. Available at http://archive.samhsa.gov/data/2k13/DataReview/DR006/nonmedical-pain-reliever-use-2013.pdf,WOS:000308616800020,"Jones, Christopher M. 2012 Frequency of Prescription Pain Reliever Nonmedical Use: 2002-2003 and 2009-2010 ARCHIVES OF INTERNAL MEDICINE",22733257,1,19.60605,
Muhuri PK Gfroerer JC Davies C. 2013 August. Associations of nonmedical pain reliever use and initiation of heroin use in the United States. CBHSQ Data Review. Available at http://archive.samhsa.gov/data/2k13/DataReview/DR006/nonmedical-pain-reliever-use-2013.pdf,WOS:000256742600002,"Colliver, James D. Gfroerer, Joseph C. 2008 Motive for nonmedical use of prescription pain relievers in the National Survey on Drug Use and Health JOURNAL OF PAIN",18403270,2,18.112473,
Cerd M Santaella J Marshall BD Kim JH Martins SS. 2015. Nonmedical prescription opioid use in childhood and early adolescence predicts transitions to heroin use in young adulthood: A national study. J Pediatr 167(3):605-12.,WOS:000363540200023,"Marshall, Brandon D. L. Cerda, Magdalena Martins, Silvia S. Cerda, Magdalena Santaella, Julian Kim, June H. 2015 Nonmedical Prescription Opioid Use in Childhood and Early Adolescence Predicts Transitions to Heroin Use in Young Adulthood: A National Study JOURNAL OF PEDIATRICS",26054942,1,26.994919,X
Cerd M Santaella J Marshall BD Kim JH Martins SS. 2015. Nonmedical prescription opioid use in childhood and early adolescence predicts transitions to heroin use in young adulthood: A national study. J Pediatr 167(3):605-12.,WOS:000356736700035,"Cerda, Magdalena Maldonado, Adriana Santaella-Tenorio, Julian Martins, Silvia S. Marshall, Brandon D. L. 2015 Racial/ethnic differences in trends in heroin use and heroin-related risk behaviors among nonmedical prescription opioid users DRUG AND ALCOHOL DEPENDENCE",25869542,2,15.869603,
https://www.cdc.gov/vitalsigns/heroin/infographic.html#graphic,WOS:000285075900008,"Swan, Black Lane, Sarah 2010 vitalsigns DANCE MAGAZINE",NA,1,6.4682517,
https://www.cdc.gov/vitalsigns/heroin/infographic.html#graphic,WOS:A1949UC23700036,"HARTSILVER, J 1949 HEROIN LANCET",NA,2,4.498502,
Cicero TJ Ellis MS Kasper ZA. 2017. Increased use of heroin as an initiating opioid of abuse. Addict Behav 74:63-66.,WOS:000407536100010,"Cicero, Theodore J. Ellis, Matthew S. Kasper, Zachary A. 2017 Increased use of heroin as an initiating opioid of abuse ADDICTIVE BEHAVIORS",28582659,1,20.137865,X
Cicero TJ Ellis MS Kasper ZA. 2017. Increased use of heroin as an initiating opioid of abuse. Addict Behav 74:63-66.,WOS:000390074000038,"Cicero, Theodore J. Kasper, Zachary A. Ellis, Matthew S. 2017 Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers ADDICTIVE BEHAVIORS",27544696,2,11.167096,
Cicero TJ Ellis MS Kasper ZA. 2017. Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers. Addict Behav 65:242-244.,WOS:000390074000038,"Cicero, Theodore J. Kasper, Zachary A. Ellis, Matthew S. 2017 Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers ADDICTIVE BEHAVIORS",27544696,1,29.375069,X
Cicero TJ Ellis MS Kasper ZA. 2017. Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers. Addict Behav 65:242-244.,WOS:000396403600008,"Kasper, Zachary A. Cicero, Theodore J. Ellis, Matthew S. 2017 Relative preferences in the abuse of immediate-release versus extended-release opioids in a sample of treatment-seeking opioid abusers PHARMACOEPIDEMIOLOGY AND DRUG SAFETY",27594167,2,15.735979,
Martins SS Sarvet A Santaella-Tenorio J Saha T Grant BF Hasin DS. 2017. Changes in lifetime heroin use and heroin use disorder: Prevalence from the 2001-2002 to 2012-2013 National Epidemiologic Survey on Alcohol and Related Conditions. JAMA Psychiatry 74(5):445-455,WOS:000412386900017,"Hasin, D. S. Santaella-Tenorio, J. Martins, S. S. Saha, T. Sarvet, A. Grant, B. F. 2017 Changes in US Lifetime Heroin Use and Heroin Use Disorder: Prevalence From the 2001-2002 to 2012-2013 National Epidemiologic Survey on Alcohol and Related Conditions (vol 74, pg 445, 2017) JAMA PSYCHIATRY",NA,1,39.610344,X
Martins SS Sarvet A Santaella-Tenorio J Saha T Grant BF Hasin DS. 2017. Changes in lifetime heroin use and heroin use disorder: Prevalence from the 2001-2002 to 2012-2013 National Epidemiologic Survey on Alcohol and Related Conditions. JAMA Psychiatry 74(5):445-455,WOS:000400464300008,"Saha, Tulshi Hasin, Deborah S. Martins, Silvia S. Grant, Bridget F. Sarvet, Aaron Hasin, Deborah S. Santaella-Tenorio, Julian 2017 Changes in US Lifetime Heroin Use and Heroin Use Disorder Prevalence From the 2001-2002 to 2012-2013 National Epidemiologic Survey on Alcohol and Related Conditions JAMA PSYCHIATRY",28355458,2,36.251705,
Cicero TJ Ellis MS Kasper ZA. Increased use of heroin as an initiating opioid of abuse. Addict Behav. 2017 Nov;74:63-66,WOS:000407536100010,"Cicero, Theodore J. Ellis, Matthew S. Kasper, Zachary A. 2017 Increased use of heroin as an initiating opioid of abuse ADDICTIVE BEHAVIORS",28582659,1,20.137865,X
Cicero TJ Ellis MS Kasper ZA. Increased use of heroin as an initiating opioid of abuse. Addict Behav. 2017 Nov;74:63-66,WOS:000390074000038,"Cicero, Theodore J. Kasper, Zachary A. Ellis, Matthew S. 2017 Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers ADDICTIVE BEHAVIORS",27544696,2,11.167096,
Hser YI Evans E Grella C Ling W Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.,WOS:000351441700003,"Ling, Walter Hser, Yih-Ing Evans, Elizabeth Anglin, Douglas Grella, Christine 2015 Long-Term Course of Opioid Addiction HARVARD REVIEW OF PSYCHIATRY",25747921,1,21.653385,X
Hser YI Evans E Grella C Ling W Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.,WOS:000168479100011,"Grella, CE Hoffman, V Hser, YI Anglin, MD 2001 A 33-year follow-up of narcotics addicts ARCHIVES OF GENERAL PSYCHIATRY",11343531,2,11.460639,
Degenhardt L Bucello C Mathers B Briegleb C Ali H Hickman M McLaren J. Mortality among regular or dependent users of heroin and other opioids: a systematic review and meta-analysis of cohort studies. Addiction. 2011 Jan;106(1):32-51.,WOS:000285205000009,"Degenhardt, Louisa Briegleb, Christina Hickman, Matt Ali, Hammad Mathers, Bradley Bucello, Chiara McLaren, Jennifer Degenhardt, Louisa 2011 Mortality among regular or dependent users of heroin and other opioids: a systematic review and meta-analysis of cohort studies ADDICTION",21054613,1,34.11169,X
Degenhardt L Bucello C Mathers B Briegleb C Ali H Hickman M McLaren J. Mortality among regular or dependent users of heroin and other opioids: a systematic review and meta-analysis of cohort studies. Addiction. 2011 Jan;106(1):32-51.,WOS:000315474400009,"Wiessing, Lucas Lemon, James Bucello, Chiara Degenhardt, Louisa Hickman, Mathew Mathers, Bradley M. 2013 Mortality among people who inject drugs: a systematic review and meta-analysis BULLETIN OF THE WORLD HEALTH ORGANIZATION",23554523,2,16.88283,
Robins LN Slobodyan S. Post-Vietnam heroin use and injection by returning US veterans: clues to preventing injection today. Addiction 2003; 98: 1053-60.,WOS:000184494700007,"Robins, LN Slobodyan, S 2003 Post-Vietnam heroin use and injection by returning US veterans: clues to preventing injection today ADDICTION",12873239,1,35.463463,X
Robins LN Slobodyan S. Post-Vietnam heroin use and injection by returning US veterans: clues to preventing injection today. Addiction 2003; 98: 1053-60.,WOS:A1993LQ90500002,"ROBINS, LN 1993 VIETNAM VETERANS RAPID RECOVERY FROM HEROIN-ADDICTION - A FLUKE OR NORMAL EXPECTATION ADDICTION",8401158,2,14.618818,
Robins LN Davis DH Goodwin DW. Drug use by U.S. Army enlisted men in Vietnam: a follow-up on their return home. Am J Epidemiol 1974; 99: 235-49.,WOS:A1974S718200001,"ROBINS, LN GOODWIN, DW DAVIS, DH 1974 DRUG-USE BY US ARMY ENLISTED MEN IN VIETNAM - FOLLOW-UP ON THEIR RETURN HOME AMERICAN JOURNAL OF EPIDEMIOLOGY",4818714,1,30.494108,X
Robins LN Davis DH Goodwin DW. Drug use by U.S. Army enlisted men in Vietnam: a follow-up on their return home. Am J Epidemiol 1974; 99: 235-49.,WOS:A1974S160000006,"ROBINS, LN 1974 FOLLOW-UP STUDY OF VIETNAM VETERANS DRUG USE JOURNAL OF DRUG ISSUES",NA,2,15.653391,
Grella CE Lovinger K. 30-year trajectories of heroin and other drug use among men and women sampled from methadone treatment in California. Drug Alcohol Depend 2011; 118: 251-8.,WOS:000296173800024,"Grella, Christine E. Lovinger, Katherine 2011 30-Year trajectories of heroin and other drug use among men and women sampled from methadone treatment in California DRUG AND ALCOHOL DEPENDENCE",21549528,1,30.68509,X
Grella CE Lovinger K. 30-year trajectories of heroin and other drug use among men and women sampled from methadone treatment in California. Drug Alcohol Depend 2011; 118: 251-8.,WOS:000184056700011,"Stewart, D Marsden, J Gossop, M 2003 Treatment process components and heroin use outcome among methadone patients DRUG AND ALCOHOL DEPENDENCE",12821210,2,13.253492,
Hser YI. Predicting long-term stable recovery from heroin addiction: findings from a 33-year follow-up study. J Addict Dis 2007; 26: 51-60.,WOS:000245291600007,"Hser, Yih-Ing 2007 Predicting long-term stable recovery from heroin addiction: Findings from a 33-year follow-up study JOURNAL OF ADDICTIVE DISEASES",17439868,1,25.6486,X
Hser YI. Predicting long-term stable recovery from heroin addiction: findings from a 33-year follow-up study. J Addict Dis 2007; 26: 51-60.,WOS:000250718900003,"Hser, Yih-Ing Huang, David Chou, Chih-Ping Anglin, M. Douglas 2007 Trajectories of heroin addiction - Growth mixture modeling results based on a 33-year follow-up study EVALUATION REVIEW",17986707,2,13.332845,
Scherbaum N Specka M. Factors influencing the course of opiate addiction. Int J Methods Psychiatr Res 2008; 17 suppl 1: S39-44.,WOS:000257232300005,"Specka, M. Scherbaum, N. 2008 Factors influencing the course of opiate addiction INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH",18543361,1,19.88267,X
Scherbaum N Specka M. Factors influencing the course of opiate addiction. Int J Methods Psychiatr Res 2008; 17 suppl 1: S39-44.,WOS:000331765700004,"Scherbaum, N. Specka, M. 2014 Comorbid Mental Disorders in Opiate Dependents SUCHTTHERAPIE",NA,2,12.217665,
Hser YI Evans E Grella C Ling W Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.,WOS:000351441700003,"Ling, Walter Hser, Yih-Ing Evans, Elizabeth Anglin, Douglas Grella, Christine 2015 Long-Term Course of Opioid Addiction HARVARD REVIEW OF PSYCHIATRY",25747921,1,21.653385,X
Hser YI Evans E Grella C Ling W Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.,WOS:000168479100011,"Grella, CE Hoffman, V Hser, YI Anglin, MD 2001 A 33-year follow-up of narcotics addicts ARCHIVES OF GENERAL PSYCHIATRY",11343531,2,11.460639,
Waldorf D. Natural recovery from opiate addiction: some social-psychological processes of untreated recovery. J Drug Issues 1983; 13: 237-80.,WOS:A1983QU97900005,"WALDORF, D 1983 NATURAL RECOVERY FROM OPIATE ADDICTION - SOME SOCIAL-PSYCHOLOGICAL PROCESSES OF UNTREATED RECOVERY JOURNAL OF DRUG ISSUES",NA,1,27.45546,X
Waldorf D. Natural recovery from opiate addiction: some social-psychological processes of untreated recovery. J Drug Issues 1983; 13: 237-80.,WOS:A1981LR53500004,"BIERNACKI, P WALDORF, D 1981 THE NATURAL RECOVERY FROM OPIATE ADDICTION - SOME PRELIMINARY FINDINGS JOURNAL OF DRUG ISSUES",NA,2,18.759178,
Hser YI Evans E Grella C Ling W Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.,WOS:000351441700003,"Ling, Walter Hser, Yih-Ing Evans, Elizabeth Anglin, Douglas Grella, Christine 2015 Long-Term Course of Opioid Addiction HARVARD REVIEW OF PSYCHIATRY",25747921,1,21.653385,X
Hser YI Evans E Grella C Ling W Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.,WOS:000168479100011,"Grella, CE Hoffman, V Hser, YI Anglin, MD 2001 A 33-year follow-up of narcotics addicts ARCHIVES OF GENERAL PSYCHIATRY",11343531,2,11.460639,
Ries R Krupski A West II Maynard C Bumgardner K Donovan D Dunn C Roy-Byrne P. 2015. Correlates of opioid use in adults with self-reported drug use recruited rrom public safety-neet primary care clinics. J Addict Med 9(5):417-26.,WOS:000380839400011,"West, Imara I. Roy-Byrne, Peter Bumgardner, Kristin McDonell, Michael G. Graves, Meredith C. Donovan, Dennis M. Atkins, David C. McDonell, Michael G. Maynard, Charles Dunn, Chris Krupski, Antoinette Ries, Richard K. 2016 Utility of Point-of-care Urine Drug Tests in the Treatment of Primary Care Patients With Drug Use Disorders JOURNAL OF ADDICTION MEDICINE",27159345,1,18.964964,
Ries R Krupski A West II Maynard C Bumgardner K Donovan D Dunn C Roy-Byrne P. 2015. Correlates of opioid use in adults with self-reported drug use recruited rrom public safety-neet primary care clinics. J Addict Med 9(5):417-26.,WOS:000361051000009,"Bumgardner, Kristin Ries, Richard Roy-Byrne, Peter Donovan, Dennis Donovan, Dennis West, Imara I. Maynard, Charles Graves, Meredith C. Krupski, Antoinette Atkins, David C. 2015 Clinical Needs of Patients with Problem Drug Use JOURNAL OF THE AMERICAN BOARD OF FAMILY MEDICINE",26355132,2,18.840223,
