ID,Citing Source Item,Cited Source Item Number,DocumentID,Type,ID,DOI,WOS,PMID,Note,Reference,
316,PresComReport,111,253,Article,,,WOS:000406975400012,28612362,,"Corr TE, Hollenbeak CS. The economic burden of neonatal abstinence syndrome in the United States. Addiction. 2017 Sep;112(9):1590-1599.",
317,PresComReport,112,225,Article,,,WOS:000289685900011,21199058,,"Callaghan T, Crimmins J, Schweitzer RD. Children of substance-using mothers: child health engagement and child protection outcomes. J Paediatr Child Health. 2011;47(4):223–227.",
318,PresComReport,113,237,Report,,,,,,"Child Welfare Information Gateway. 2016. Parental Drug Use as Child Abuse. U.S. Department of Health and Human Services, Children’s Bureau. Washington, DC. Accessed at https://www.childwelfare.gov/pubPDFs/drugexposed.pdf on October 25, 2017.",
319,PresComReport,114,392,Article,,,,22455509,,"Solis JM, Shadur JM, Burns AR, Hussong AM. Understanding the diverse needs of children whose parents abuse substances. Curr Drug Abuse Rev. 2012Jun;5(2):135-47.",
320,PresComReport,115,320,Report,,,,,,"Krueger, AB. 2017. Where Have All The Workers Gone? An Inquiry into the Decline of the U.S. Labor Force Participation Rate. Brookings Papers on Economic Activity. Accessed at https://www.brookings.edu/wpcontent/uploads/2017/09/1_krueger.pdf on October 25, 2017.",
321,PresComReport,116,257,Article,,,WOS:000383999900003,27623005,,"Curtis S. Florence, Chao Zhou, Feijun Luo, Likang Xu. 2016. The economic burden of prescription opioid overdose, abuse, and dependence in the United States, 2013. Medical Care 54 (10): 901",
322,PresComReport,117,230,Report/Website/Data,,,,,,"CDC National Center for Health Statistics. 2017. Provisional Counts of Drug Overdose Deaths, as of 8/6/2017. Accessed at https://www.cdc.gov/nchs/data/health_policy/monthly-drug-overdose-death-estimates.pdf on September 5, 2017.",
323,PresComReport,118,222,Article,,10.1186/s40621-017-0118-7,,28762157,,"Brady JE, Giglio R, Keyes KM, DiMaggio C, Li G. 2017. Risk markers for fatal and non-fatal prescription drug overdose: a meta-analysis. Inj Epidemiol 4(1):24.",
324,PresComReport,119,222,Article,,10.1186/s40621-017-0118-7,,28762157,,"Brady JE, Giglio R, Keyes KM, DiMaggio C, Li G. 2017. Risk markers for fatal and non-fatal prescription drug overdose: a meta-analysis. Inj Epidemiol 4(1):24.",
325,PresComReport,120,365,Article,,/10.15585/mmwr.mm6643e1 ,WOS:000414252200007,,,"O’Donnell JK, Halpin J, Mattson CL, Goldberger BA, Gladden RM. Deaths Involving Fentanyl, Fentanyl Analogs, and U-47700 — 10 States, July–December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1 DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
326,PresComReport,121,260,Data,,,,,,"Data on facilities from the Substance Abuse and Mental Health Services Administration. National Survey of Substance Abuse Treatment Services information on the Behavioral Health Treatment Services Locator, available at https://findtreatment.samhsa.gov/. Extracted by ONDCP on February 10, 2016; county levels of urbanization are from the National Center for Health Statistics classification.",
327,PresComReport,122,261,Data,,,,,,"Data on physicians from the Drug Enforcement Administration, unpublished data provided to ONDCP as of February 16, 2016; county levels of urbanization are from the National Center for Health Statistics classification.",
328,PresComReport,123,376,Article,,,WOS:000334997100013,24611820,,Pullen E and Oser C. 2014. Barriers to Substance Abuse Treatment in Rural and Urban Communities: Counselor Perspectives. Substance Use and Misuse 49:891-901.,
329,PresComReport,124,256,Article,,,WOS:000331370600011,24369387,,"Cummings JR, Wen H, Ko M, and Druss BG. 2014. Race/Ethnicity and Geographic Access to Medicaid Substance Use Disorder Treatment Facilities in the United States. JAMA Psychiatry 71(2):190-196.",
330,PresComReport,125,417,Report,,,,,,"Washington State Institute for Public Policy (May 2017). Benefit-cost technical documentation. Olympia, WA. http://www.wsipp.wa.gov/TechnicalDocumentation/WsippBenefitCostTechnicalDocumentation.pdf",
331,PresComReport,126,383,Article,,,WOS:000282710900002,20815663,,"Ryan SM, Jorm AF, Lubman DI. 2010. Parenting factors associated with reduced adolescent alcohol use: a systematic review of longitudinal studies. Aust N Z J Psychiatry 44:774–783.",
332,PresComReport,127,205,Article,,,WOS:000242791000012,17176385,,"an der Vorst H, Engels RC, Meeus W, Dekovic M. 2006. The impact of alcohol-specific rules, parental norms about early drinking and parental alcohol use on adolescents' drinking behavior. J Child Psychol Psychiatry;47:1299–1306.",
333,PresComReport,128,360,Report,,,,,,National Survey of American Attitudes on Substance Abuse XVI: Teens and Parents; National Center on Addiction and Substance Abuse at Columbia University; August 2011.,
334,PresComReport,129,369,?,,,,,,"PATS, 2011.",
335,PresComReport,130,398,Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 6.53B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
336,PresComReport,131,398,Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 3.29B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
337,PresComReport,132,398,Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 3.29B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
338,PresComReport,133,390,Article,,,WOS:000259560600001,18485621,,"Smit E, Verdurmen J, Monshouwer K, Smit F. 2008. Family interventions and their effect on adolescent alcohol use in general populations; a meta-analysis of randomized controlled trials. Drug Alcohol Depend 97:195–206.",
339,PresComReport,134,349,Article,,,WOS:000275809700014,,,"Mednick SC, Christakis NA, Fowler JH. The spread of sleep loss influences drug use in adolescent social networks. PLoS One. 2010 Mar 19;5(3):e9775.",
340,PresComReport,135,363,Report,,,,,,"NIDA (2016). Principles of Substance Abuse Prevention for Early Childhood. Retrieved from https://www.drugabuse.gov/publications/principles-substance-abuse-prevention-early-childhood on 2017, September 6.",
341,PresComReport,136,221,Article,,,WOS:000271247700012,23766545,,"Bradshaw, C. P., Zmuda, J. H., Kellam, S. G., & Ialongo, N. S. 2009. Longitudinal impact of two universal preventive interventions in first grade on educational outcomes in high school. Journal of Educational Psychology 101(4), 926-937.",
342,PresComReport,137,290,Article,,,WOS:000079019600003,10086398,,"Hawkins, J. D., Catalano, R. F., Kosterman, R., Abbott, R., & Hill, K. G. 1999. Preventing Adolescent HealthRisk Behaviors by Strengthening Protection During Childhood. Archives of Pediatrics & Adolescent Medicine 153(3).",
343,PresComReport,138,288,Article,,,WOS:A1967A134300010,6054183,,"Hawkins, D. 1967. On Understanding the Understanding of Children. Archives of Pediatrics & Adolescent Medicine, 114(5), 513. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
344,PresComReport,139,289,Article,,,,,Not found in WoS,"Hawkins, J. D., Arthur, M. W., & Catalano, R. F. 1995. Preventing substance abuse. Crime and Justice: A Review of Research, 19, 343-428.",
345,PresComReport,140,394,Article,,,WOS:000257731300007,20376279,,"Spoth, R., Randall, G. K., & Shin, C. 2008. School Psychology Quarterly, 23(1), 70-89",
346,PresComReport,141,321,Article,,,WOS:000301789300005,22108900,,"Kuklinski, Margaret R., et al. 2012. ""Cost-benefit analysis of Communities That Care outcomes at eighth grade."" Prevention Science 13.2: 150-161.",
347,PresComReport,142,328,Article,,,WOS:000180016100014,12549711,,"Lockman, J. E., & Wells, K. C. 2002. Contextual social–cognitive mediators and child outcome: A test of the theoretical model in the Coping Power program. Development and Psycho.pathology, 14(04), 945-967.",
348,PresComReport,143,229,Book,,10.1016/B978-012369429-4/50041-0,,,Not found in WoS,"Catalano, R. F., Haggerty, K. P., Fleming, C. B., & Skinner, M. L. (2007). Focus on Families. Therapist's Guide to Evidence-Based Relapse Prevention, 237-257.",
349,PresComReport,144,363,Website,,,,,,"NIDA. 2016. Principles of Substance Abuse Prevention for Early Childhood. Retrieved from https://www.drugabuse.gov/publications/principles-substance-abuse-prevention-early-childhood on 2017, September 6.",
350,PresComReport,145,291,Website,,,,,,"HHS. 2017. Facing Addiction in America. U. S. Surgeon General’s Report on Alcohol, Drugs, and Health. Retrieved from https://addiction.surgeongeneral.gov/.",
351,PresComReport,146,291,Website,,,,,,"HHS. 2017. Facing Addiction in America. U. S. Surgeon General’s Report on Alcohol, Drugs, and Health. Retrieved from https://addiction.surgeongeneral.gov/.",
352,PresComReport,147,333,Article,,,WOS:000277795700019,20201863,,"Madras BK. 2010, Feb. Office of National Drug Control Policy: a scientist in drug policy in Washington, DC. Ann N Y Acad Sci. 1187:370-402.",
353,PresComReport,148,318,Article,,,WOS:000250701400002,17984404,,"Knight JR, Harris SK, Sherritt L, Van Hook S, Lawrence N, Brooks T, Carey P, Kossack R, Kulig J. 2007, Nov. Prevalence of positive substance abuse screen results among adolescent primary care patients. Arch Pediatr Adolesc Med. 161(11):1035-41.",
354,PresComReport,149,377,Article,,,WOS:000400999800019,28328312,,"Ramos MM, Sebastian RA, Murphy M, Oreskovich K, Condon TP. 2017, Apr-Jun. Adolescent substance use: Assessing the knowledge, attitudes, and practices of a school-based health center workforce. Subst Abus. 38(2):230-236.",
355,PresComReport,150,287,Article,,,WOS:000372743900027,25774987,,"Harris BR, Shaw BA, Sherman BR, Lawson HA. 2016. Screening, brief intervention, and referral to treatment for adolescents: Attitudes, perceptions, and practice of New York school-based health center providers. Subst Abus. 37(1):161-7.",
356,PresComReport,151,353,Article,,,WOS:000355307700002,26017980,,"Mitchell AM, Fioravanti M, Kane I, Puskar K, Hagle H, Boucek L. 2015, Jun. A call for universal alcohol, drug screening. Am J Nurs. 115(6):11.",
357,PresComReport,152,270,Article,,,WOS:000183177000006,12773784,,"Farrelly, MC, Niederdeppe, J, & Yarsevich, J. (2003). Youth tobacco prevention mass media campaigns: Past, present, and future directions, BMJ: TC, Accessed at: http://tobaccocontrol.bmj.com/content/12/suppl_1/i35.",
358,PresComReport,153,279,Article,,,WOS:000334768400009,24745639,,"Gibson, LA, Parvanta, SA, Jeong, M, & Hornik RC. (2014). Evaluation of a mass media campaign promoting using help to quit smoking, American Journal of Preventive Medicine, 4(5): 487-495.",
359,PresComReport,154,259,Article,,,WOS:000385442700007,27664597,,"Das, JK, et al. (2016). Interventions for adolescent substance abuse: An overview of systematic reviews, Journal of Adolescent Health, 59: s61-75.",
360,PresComReport,155,385,Article,,,WOS:000277574300002,20432107,,"Scheier LM and Grenard JL (2010). Influence of a nationwide social marketing campaign on adolescent drug use, Journal of Health Communication, 12(3) 240-271.",
361,PresComReport,156,366,Report,,,,,,"Orwin, R. Cadell, D, Chu, A, Kalton, G, Maklan, D, Morin, C, Piesse, A, Sridharan, S, Steele, D, Taylor, K, & Tracy, E. (2006). Evaluation of the National Youth Anti-Drug Media Campaign: 2004 Report of Findings, National Institutes of Health, National Institute on Drug Abuse; Bethesda, MD. Accessed at: https://archives.drugabuse.gov/initiatives/westat/NSPY2004Report/Vol1/Report.pdf",
362,PresComReport,157,202,Article,,10.1136/bmjopen-2014-007449.,WOS:000360863100032,26338836,,"Allara, E. et al. (2015). Are mass-media campaigns effecting in preventing drug use? A Cochrane systematic review and meta-analysis, British Medical Journal Open, 5:e007449.doi:10.1136/bmjopen-2014-007449.",
363,PresComReport,158,,Article,,10.1080/10510970209388598,,,,"Stephenson, MT. (2009). Sensation seeking as a moderator of the processing of anti-heroin PSA’s, Journal of Communication Studies, 53(4): 358-380.",
364,PresComReport,159,368,Article,,,WOS:000170344900020,11211642,,"Palmgreen, P., Donohew, L, Lorch, EP, Hoyle, RH, & Stephenson, MT, (2001). Television campaigns and adolescent marijuana use: Tests of sensation seeking targeting, American Journal of Public Health, 91, 292-296. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
365,PresComReport,160,269,Article,,,WOS:000392900800002,28103214,,"Farrelly MC, Duke JC, Nonnemaker J, et al. Association Between The Real Cost Media Campaign and Smoking Initiation Among Youths — United States, 2014–2016. MMWR Morb Mortal Wkly Rep 2017;66:47–50. DOI: http://dx.doi.org/10.15585/mmwr.mm6602a2",
366,PresComReport,161,361,Personal Communication,,,,,,"Neil Seeman, personal communication",
367,PresComReport,162,362,Article,,,WOS:000401238500009,28334456,,"Newton NC, Champion KE, Slade T, Chapman C, Stapinski L, Koning, Tonks Z, Teesson M. 2017, May. A systematic review of combined student- and parent-based programs to prevent alcohol and other drug use among adolescents. Drug Alcohol Rev. 36(3):337-351.",
368,PresComReport,163,234,Article,,,WOS:000379357900013,27301691,,"Centers For Disease Control And Prevention Public Health Service U S Department Of Health And Human Services. Guideline for Prescribing Opioids for Chronic Pain. J Pain Palliat Care Pharmacother. 2016, Jun;30(2):138-40.",
369,PresComReport,164,357,Report,,,,,,"National Academies of Sciences, Engineering, and Medicine. 2017. Pain Management and the Opioid Epidemic: Balancing Societal and Individual Benefits and Risks of Prescription Opioid Use. Washington, DC: The National Academies Press. Page 70. doi: https://doi.org/10.17226/24781.",
370,PresComReport,165,284,Article,,10.15585/mmwr.mm6626a4,WOS:000404865800004,28683056,,"Guy,GP, Zhang, K, Bohm, MK, Losby, J, Lewis, B, Young, R, Murphy, LB, & Dowell, D. (2017). Vital signs: Changes in opioid prescribing in the United States, 2006-2015. Morbidity and Mortality Weekly (MMWR). 66(26); 697-704.",
371,PresComReport,166,407,Report,,,,,,VA and DoD. (2017). VA/DoD Clinical Practice Guideline for Opioid Therapy for Chronic Pain. Version 3.0. Retrieved at https://www.healthquality.va.gov/guidelines/pain/cot/.,
372,PresComReport,167,299,Website,,,,,,https://www.ama-assn.org/delivering-care/reversing-opioid-epidemic,
373,PresComReport,168,300,Website,,,,,,https://www.asam.org/education/resources/Opioid-Prescribing,
374,PresComReport,169,295,Website,,,,,,http://www.aafp.org/patient-care/clinical-recommendations/all/opioid-prescribing.html,
375,PresComReport,170,297,Website,,,,,,https://pcss-o.org/,
376,PresComReport,171,308,Website,,,,,,https://www.samhsa.gov/medication-assisted-treatment/training-resources/opioid-courses,
377,PresComReport,172,304,Website,,,,,,https://www.drugabuse.gov/nidamed-medical-health-professionals/tool-resources-your-practice/other-opioidprescribing-resources,
378,PresComReport,173,358,Website,,,,,,"National Governor’s Association. 2016, July. A Compact to Fight Opioid Addiction. Retrieved at https://www.nga.org/cms/news/2016/opioid-compact.",
379,PresComReport,174,336,Article,,,,,Not found in WoS,"Marcus, P.A., Thomas, A.L. (2017). Prudent Prescribing: An Overview of Recent Federal and State Guidelines for Opioid Prescriptions. American Bar Association Health eSource. Opioid Epidemic Special Edition. 13(12). Retrieved at https://www.americanbar.org/publications/aba_health_esource/2016- 2017/opioids/prescriptions.html.",
380,PresComReport,175,204,Legislation,,,,,,"An Act Relative to Substance Use, Treatment, Education and Prevention. Chapter 52. Massachusetts Session Law. 2016. Retrieved at https://malegislature.gov/Laws/SessionLaws/Acts/2016/Chapter52.",
381,PresComReport,176,395,Legislation,,,,,,State of Washington Department of Health. WSR-11-12-025. Permanent Rules. Medical Quality Assurance Commission. Retrieved at http://apps.leg.wa.gov/documents/laws/wsr/2011/12/11-12-025.htm.,
382,PresComReport,177,220,Press Article,,,,,,Boston Globe and Harvard T.H. Chan School of Public Health. Prescription painkiller abuse: Attitudes among adults in Massachusetts and the United States. May 2015. https://cdn1.sph.harvard.edu/wpcontent/uploads/sites/21/2015/05/Prescription-Painkiller-Poll-Report.pdf.,
383,PresComReport,178,250,Data,,,,,,Commonwealth of Massachusetts Department of Public Health. Stop addiction in its tracks: Current statistics. 2016. http://www.mass.gov/eohhs/gov/departments/dph/stop-addiction/current-statistics.html.,
384,PresComReport,179,208,Article,,,WOS:A1982NY22700002,7091173,,"Avorn J, Chen M, Hartley R. 1982, Jul. Scientific versus commercial sources of influence on the prescribing behavior of physicians. Am J Med. 73(1):4-8.",
385,PresComReport,180,212,Article,,,WOS:000374289300025,26978601,,"Baker JA, Avorn J, Levin R, Bateman BT. 2016, Apr 19. Opioid Prescribing After Surgical Extraction of Teeth in Medicaid Patients, 2000-2010. JAMA. 315(15):1653-4.",
386,PresComReport,181,215,Article,,,WOS:000382495100033,26996986,,"Bateman BT, Franklin JM, Bykov K, Avorn J, Shrank WH, Brennan TA, Landon JE, Rathmell JP, Huybrechts KF, Fischer MA, Choudhry NK. Persistent opioid use following cesarean delivery: patterns and predictors among opioid-naïve women. Am J Obstet Gynecol. 2016 Sep;215(3):353.e1-353.e18. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
387,PresComReport,182,424,Website,,,,,,www.DrugEpi.org,
388,PresComReport,183,280,Article,,,,,No found ,"Gilson, AM. (2009). Pharmacists and controlled substances prescriptions, Medscape, Accessed at: http://www.medscape.com/viewarticle/701794",
389,PresComReport,184,356,Article,,,WOS:000405276600008,28738683,,"Nam YH, Shea DG, Shi Y, Moran JR. 2017, May. State prescription drug monitoring programs and fatal drug overdoses. Am J Manag Care. 23(5):297-303.",
390,PresComReport,185,239,Personal Communication,,,,,,"Christina Cook, Lekan Wang, Alex Boras (Palantir) personal communication, June 2017.",
391,PresComReport,186,310,Report,,,,,,"IMS Health, National Prescription Audit (NPATM). Cited in internal document: Preliminary Update on Opioid Pain Reliever (OPR) Prescription Rates Nationally and by State: 2010-2013.",
392,PresComReport,187,327,Report,,,,,Not found in WoS,"Lipari, R.N. and Hughes, A. How people obtain the prescription pain relievers they misuse. The CBHSQ Report: January 12, 2017. Center for Behavioral Health Statistics and Quality, Substance Abuse and Mental Health Services Administration, Rockville, MD.",
393,PresComReport,188,296,Website,,,,,,http://www.hcahpsonline.org/home.aspx,
394,PresComReport,189,307,Website,,,,,,https://www.medicare.gov/hospitalcompare/about/what-is-HOS.html,
395,PresComReport,190,426,?,,,,,,  ,
396,PresComReport,191,312,Article,,10.1001/jamainternmed.2016.2737.,WOS:000379039700025,27294595,,"Jena AB1, Goldman D2, Karaca-Mandic P3. 2016, Jul 1. Hospital Prescribing of Opioids to Medicare Beneficiaries JAMA Intern Med. 176(7):990-7. doi: 10.1001/jamainternmed.2016.2737.",
397,PresComReport,192,312,Article,,10.1001/jamainternmed.2016.2737.,WOS:000379039700025,27294595,,"Jena AB1, Goldman D2, Karaca-Mandic P3. 2016, Jul 1. Hospital Prescribing of Opioids to Medicare Beneficiaries JAMA Intern Med. 176(7):990-7. doi: 10.1001/jamainternmed.2016.2737.",
398,PresComReport,193,241,Article,,,,27042784,,"Chughtai M1, Jauregui JJ1, Mistry JB1, Elmallah RK1, Diedrich AM1, Bonutti PM2, Delanois R1, Mont MA1. 2016, Apr. What Influences How Patients Rate Their Hospital After Total Knee Arthroplasty? Surg Technol Int. 28:261-5.",
399,PresComReport,194,352,Article,,10.1016/j.arth.2016.03.060,WOS:000386747900009,27155998,,"Mistry JB, Chughtai M, Elmallah RK, Le S, Bonutti PM, Delanois RE, Mont MA. 2016, Nov. What Influences How Patients Rate Their Hospital After Total Hip Arthroplasty? J Arthroplasty. 31(11):2422-2425. doi: 10.1016/j.arth.2016.03.060. Epub 2016 Apr 13. PMID: 27155998.",
400,PresComReport,195,398,Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 7.2A. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
401,PresComReport,196,420,Report,,,,,,"What America’s Users Spend on Illegal Drugs: 2000-2010, RAND for ONDCP, Fen 2014",
402,PresComReport,197,400,Press Article,,,,,,"Sullum, J., How Many Daily Heroin Users Are There In The U.S.? Somewhere Between 60,000 And 1 Million. Maybe., Forbes, March 10, 2014",
403,PresComReport,198,406,Data,,,,,,"U.S. Department of Justice, Drug Enforcement Administration. STARLiMS forensic drug chemistry database. Analysis by ONDCP on export through May 15, 2017. These counts are not representative off all seized fentanyl tablets and capsules in the United States (or specific geographic regions), but are representative of all evidence submitted and analyzed by DEA laboratories from domestic sources.",
404,PresComReport,199,322,Conference Proceeding,,,,,Not found in WoS,"Kyle Soska and Nicolas Christin, Measuring the Longitudinal Evolution of the Online Anonymous Marketplace Ecosystem, Carnegie Mellon University, August 13, 2015, Accessed on September 19, 2016, http://www.usinex.org/conference/usinexsecurity15/technical-sessions/presentation/soska.",
405,PresComReport,200,334,Article,,,WOS:000400464300006,28355456,,"Madras BK. The Surge of Opioid Use, Addiction, and Overdoses: Responsibility and Response of the US Health Care System. JAMA Psychiatry. 2017 May1;74(5):441-442.",
406,PresComReport,201,332,Article,,,WOS:000262700500031,18929451,,"Madras BK, Compton WM, Avula D, Stegbauer T, Stein JB, Clark HW. Screening, brief interventions, referral to treatment (SBIRT) for illicit drug and alcohol use at multiple healthcare sites: comparison at intake and 6 months later. Drug Alcohol Depend. 2009 Jan 1;99(1-3):280-95.",
407,PresComReport,202,364,Report,,,,,,"NIDA. 2012, December 1. Principles of Drug Addiction Treatment: A Research-Based Guide (Third Edition). Retrieved from https://www.drugabuse.gov/publications/principles-drug-addiction-treatment-research-basedguide-third-edition on 2017, September 6 DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
408,PresComReport,203,281,Article,,,WOS:000282111300001,20557970,,"Glasner-Edwards, S., Rawson, R. 2010. Evidence-based practices in addiction treatment: Review and recommendations for public policy. Health Policy. 97. 93-104",
409,PresComReport,204,351,Article,,,WOS:000338761900002,,,"Miller, S. M., Moulton, S. 2014. Publicness in Policy Environments: A Multilevel Analysis of Substance Abuse Treatment Services, Journal of Public Administration Research and Theory, 2014, 24, 3, 553",
410,PresComReport,205,401,Personal Communication,,,,,,"Summary of treatment requirements provided by Dr, Shelly Greenfield, McLean Hospital.",
411,PresComReport,206,323,Article,,,WOS:000413167500035,,,"Lagisetty P, Klasa K, Bush C, Heisler M, Chopra V, Bohnert A. Primary care models for treating opioid use disorders: What actually works? A systematic review. PLoS One. 2017 Oct 17;12(10):e0186315.",
412,PresComReport,207,330,Article,,,WOS:000325234400007,23998769,,"Lorman, W.J. 2013. Maintaining Sobriety and Recovery, Nursing Clinics of North America, 2013, 48, 3, 437",
413,PresComReport,208,265,Article,,,WOS:000315568700001,23363550,,"Duffy, P., Baldwin, H. 2013. Recovery post treatment: plans, barriers and motivators, Substance Abuse Treatment, Prevention, and Policy, 2013, 8, 1, 6",
414,PresComReport,209,359,Report,,,,,,National Quality Forum. 2017. Behavioral Health 2016-2017: final Technical Report. https://www.qualityforum.org/Publications/2017/08/Behavioral_Health_2016-2017_Final_Report.aspx,
415,PresComReport,210,277,Report,,,WOS:000237401400003,16767849,,"Garnick, D., Horgan, C., & Chalk, M. 2006. Performance measures for alcohol and other drug services. Alcohol Research & Health, 29(1), 19-26Retrieved from https://pubs.niaaa.nih.gov/publications/arh291/19-26.htm",
416,PresComReport,211,207,Report,,,,,,ASAM. 2005.Principles for Outcome Evaluation in the Treatment of Substance-Related Disorders: a Joint AMBHA-ASAM Statement. Retrieved from https://www.asam.org/docs/default-source/public-policystatements/1outcome-evaluation-1-012.pdf?sfvrsn=0,
417,PresComReport,212,342,Article,,,WOS:000332082400003,24500948,,"Mattick, R.P., et al. 2014. Buprenorphine maintenance versus placebo or methadone maintenance for opioid dependence. Cochrane Database Syst Rev (2): p. Cd002207.",
418,PresComReport,213,382,Article,,10.1155/2011/948789,WOS:000214595200023,21776440,,"Rosenblum, A., et al., Distance traveled and cross-state commuting to opioid treatment programs in the United States. J Environ Public Health, 2011. 2011: p. 948789.",
419,PresComReport,214,278,Article,,,WOS:000252964600018,18190664,,"Gibson, A., et al. 2008. Exposure to opioid maintenance treatment reduces long-term mortality. Addiction 103(3): p. 462-8.",
420,PresComReport,215,316,Article,,,WOS:000393734400001,28132694,,"Kermack, A., et al. 2017. Buprenorphine prescribing practice trends and attitudes among New York providers. J Subst Abuse Treat 74: p. 1-6.",
421,PresComReport,216,338,Article,,,WOS:000356026900001,25921475,,"Mark, T.L., et al., Medicaid coverage of medications to treat alcohol and opioid dependence. J Subst Abuse Treat, 2015. 55: p. 1-5.",
422,PresComReport,217,337,Article,,,WOS:000405246200016,28160345,,"Mardsen, J. et al. 2017. Does exposure to opioid substitution treatment in prison reduce the risk of death after release? A national prospective observational study in England. Addiction. 112(8):1408-1418.",
423,PresComReport,218,214,Article,,,WOS:000307850300003,22873183,,"Bart, G. 2012. Maintenance medication for opiate addiction: The foundation of recovery. Journal of Addictive Diseases, 31(3), 207–225.",
424,PresComReport,219,275,Article,,,WOS:000330257400005,24248468,,"Fullerton, C. A., Kim, M., Thomas, C. P., Lyman, D. R., Montejano, L. B., Dougherty, R. H., … Delphin-Rittmon, M. E. 2014. Medication-assisted treatment with methadone: Assessing the evidence. Psychiatric Services, 65(2), 146–157.",
425,PresComReport,220,331,Article,,,WOS:000309661500001,23038795,,"MacArthur, G. J., Minozzi, S., Martin, N., Vickerman, P., Deren, S., Bruneau, J., … Hickman, M. 2012. Opiate substitution treatment and HIV transmission in people who inject drugs: Systematic review and meta-analysis. BMJ, 345, e5945.",
426,PresComReport,221,421,Article,,,WOS:000338025800011,24751432,,"Woody, G. E., Bruce, D., Korthuis, P. T., Chhatre, S., Poole, S., Hillhouse, M., … Ling, W. 2014. HIV risk reduction with buprenorphine-naloxone or methadone: Findings from a randomized trial. Journal of Acquired Immune Deficiency Syndromes, 66(3), 288–293.",
427,PresComReport,222,422,Report,,,,,,"World Health Organization. 2009. Guidelines for the psychosocially assisted pharmacological treatment of opioid dependence. Geneva, Switzerland: WHO Press.",
428,PresComReport,223,387,Article,,,WOS:000268058200008,19443133,,"Schwartz, R. P., Jaffe, J. H., O’Grady, K. E., Kinlock, T. W., Gordon, M. S., Kelly, S. M., Ahmed, A. 2009. Interim methadone treatment: Impact on arrests. Drug and Alcohol Dependence, 103(3), 148–154.",
429,PresComReport,224,393,Article,,,WOS:000310553200013,22845057,,"Soyka, M., Träder, A., Klotsche, J., Haberthür, A., Bühringer, G., Rehm, J., & Wittchen, H. U. (2012). Criminal behavior in opioid-dependent patients before and during maintenance therapy: 6-year follow-up of a nationally representative cohort sample. Journal of Forensic Sciences, 57(6), 1524–1530. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
430,PresComReport,225,274,Article,,,WOS:000302609500003,22263709,,"Friedmann PD, Hoskinson R, Jr, Gordon M, Schwartz R, et al. (2012). Medication-Assisted Treatment in criminal justice agencies affiliated with the Criminal Justice-drug Abuse Treatment Studies (CJ-DATS): Availability, barriers and intentions. Subst Abuse. 33:9–18.",
431,PresComReport,226,217,Article,,,WOS:000326187300011,24132733,,"Belenko, S. et al. (2013). Treating Substance Use Disorders in the Criminal Justice System. Curr Psychiatry Rep. 15(11).",
432,PresComReport,227,348,Article,,,WOS:000226662400005,,,"McMillan G.P., Lapham S.C. (2005). Staff perspectives on methadone maintenance therapy (MMT) in a large southwestern jail. Addict Res Theory. 13:53–63.",
433,PresComReport,228,233,Website/Data,,,,,Not found in WOS,"Center for Behavioral Health Statistics and Quality. 2017. Key substance use and mental health indicators in the United States: Results from the 2016 National Survey on Drug Use and Health (HHS Publication No. SMA 16- 4984, NSDUH Series H-51). Retrieved from http://www.samhsa.gov/data/(https://www.samhsa.gov/data/sites/default/files/NSDUH-FFR1-2016/NSDUHFFR1-2016.htm#tx1)",
